Idx,q_sum0,q_sum1,q_sum2
100,20.217554445266725,21.444088973999023,22.591421699523927
200,23.984836349487306,22.713526563644407,23.30132312774658
300,22.071698989868164,22.26674102783203,21.049896001815796
400,21.775382452011108,21.269443855285644,24.798962688446046
500,18.929385929107667,19.675031938552856,23.19941478729248
600,17.74313069343567,19.73392247200012,24.17054964065552
700,23.959906845092775,19.294053297042847,23.934294443130494
800,20.98927474975586,17.337779302597045,20.019797954559326
900,21.24447696685791,18.099045248031615,20.522541999816895
1000,18.147630748748778,20.561935815811157,24.4523641204834
1100,17.978486642837524,21.1332458114624,24.98238859176636
1200,18.059515228271483,18.599137649536132,24.03669807434082
1300,22.469172286987305,21.735957984924315,20.841957683563233
1400,24.603770818710327,20.308962993621826,21.564403381347656
1500,17.57700795173645,23.68490129470825,22.231369543075562
1600,18.85192934036255,24.649583225250243,23.80616048812866
1700,20.954356899261473,18.317282705307008,20.88754779815674
1800,19.46777949333191,23.575237102508545,21.740569639205933
1900,24.001253128051758,21.40372278213501,20.957047290802002
2000,20.86748935699463,23.167847557067873,26.230078887939452
2100,24.454848022460936,23.144088172912596,20.646508312225343
2200,22.220419807434084,23.184538440704344,18.805088081359862
2300,18.81367654800415,22.089513664245604,23.424549350738527
2400,23.213148593902588,23.682889308929443,20.347676668167114
2500,21.045159893035887,21.257772245407104,25.583732957839967
2600,21.998518295288086,18.51880090713501,22.97263744354248
2700,20.231933851242065,18.422037448883056,20.950847806930543
2800,20.914674367904663,21.560434465408324,19.56984888076782
2900,18.202242517471312,19.55331188201904,22.300304317474364
3000,21.943817892074584,24.392190437316895,23.68478877067566
3100,18.5305469417572,18.281281938552855,23.51180682182312
3200,22.37264938354492,20.259618730545043,23.306609554290773
3300,23.073439903259278,26.364841995239257,23.097456569671632
3400,18.408455228805543,22.80919267654419,19.11120880126953
3500,18.4834822845459,20.702886400222777,24.435605506896973
3600,19.980290718078614,24.078555068969727,20.7684970664978
3700,20.11277837753296,24.44502408027649,20.105947856903075
3800,21.850278730392457,23.67402069091797,24.50886505126953
3900,21.230267057418825,24.05098108291626,21.291956062316896
4000,20.30338797569275,19.40685715675354,20.107078342437745
4100,19.83428563117981,25.53600486755371,19.829012660980226
4200,23.936554946899413,25.086613292694093,25.52176685333252
4300,22.620064315795897,22.119961977005005,24.18206958770752
4400,21.766550912857056,20.951564931869505,20.099007148742675
4500,17.768901195526123,21.16694853782654,20.959178304672243
4600,23.52804787635803,25.98486707687378,22.397295198440553
4700,25.028260593414306,23.472658672332763,17.961340293884277
4800,20.159293270111085,21.590102043151855,19.022243366241455
4900,19.050582752227783,19.235961151123046,18.282431650161744
5000,18.837738122940063,18.941617488861084,18.93428283691406
5100,21.317120094299316,20.457928619384766,24.039364414215086
5200,22.418179035186768,22.138019428253173,20.22060869216919
5300,18.8921160697937,22.667272262573242,22.214074773788454
5400,18.816245250701904,19.492945308685304,20.005943012237548
5500,21.7721422290802,19.042352409362792,20.733302059173585
5600,17.881259117126465,20.386959552764893,19.208039693832397
5700,20.736596822738647,24.89750940322876,18.35533754348755
5800,19.871169395446778,20.167370948791504,19.028760614395143
5900,17.569434995651246,20.474573278427123,24.280636196136474
6000,18.596466655731202,25.093230018615724,20.83968671798706
6100,17.968549413681032,21.85608106613159,21.60116331100464
6200,22.98185175895691,23.096711578369142,23.363359413146974
6300,20.27495668411255,23.989268016815185,23.986684379577635
6400,20.36163889884949,26.354238014221192,20.219430027008055
6500,21.045023374557495,19.442618255615233,21.0085107421875
6600,24.163575077056883,23.75155544281006,24.66927499771118
6700,19.12004282951355,23.583723773956297,26.535550556182862
6800,21.408198080062867,24.961782760620117,18.091527671813964
6900,20.69086848258972,24.043624992370606,24.514883069992067
7000,20.0580220413208,22.107433795928955,25.16189317703247
7100,19.75799638748169,21.610602293014527,17.196777124404907
7200,20.509247798919677,25.0897585105896,26.214638671875
7300,24.72425901412964,19.550217666625976,25.221321411132813
7400,24.310282154083254,22.048598308563232,23.84097635269165
7500,19.133685445785524,23.862073593139648,22.39986124038696
7600,19.80357892990112,21.094158153533936,25.64331932067871
7700,26.339837551116943,18.578232831954956,24.8599792098999
7800,24.855286531448364,19.374687938690187,25.569737253189086
7900,23.76391683578491,17.180810718536378,25.71743396759033
8000,19.288718366622923,17.287328090667724,24.51599615097046
8100,19.180045986175536,17.494427452087404,24.191147117614747
8200,20.715429105758666,17.464357137680054,20.05938422203064
8300,18.52617992401123,21.579358415603636,24.010053119659425
8400,21.921301460266115,23.23930425643921,24.41224534988403
8500,19.84970477104187,26.223043975830077,24.155638484954835
8600,24.773804206848144,20.832377433776855,23.118970918655396
8700,20.299191694259644,21.22835308074951,22.542555389404296
8800,20.845555276870726,20.595599460601807,23.652156801223754
8900,22.304934329986573,22.77698003768921,27.043040409088135
9000,22.633027744293212,23.324042949676514,24.0576344871521
9100,22.125029430389404,23.036546325683595,23.537872371673583
9200,23.11425624847412,21.203091793060302,24.727161960601805
9300,22.74771297454834,22.483509349823,25.181359519958495
9400,27.021214084625242,22.07392816543579,21.672247161865233
9500,24.16125551223755,22.910585145950318,19.668010654449464
9600,23.765956478118895,20.856085805892945,22.584157276153565
9700,25.543812465667724,18.764957466125487,20.4412922000885
9800,22.756941547393797,20.95712100982666,26.956092739105223
9900,20.76970922470093,23.810072002410887,21.08416524887085
10000,18.650849723815917,17.262316856384277,19.439378986358644
10100,20.124172744750975,18.640675010681154,20.571451435089113
10200,23.339932174682616,19.77914126396179,23.940876655578613
10300,19.854605083465575,20.92149055480957,23.51368221282959
10400,21.26456018447876,25.270481719970704,23.366767520904542
10500,17.638957090377808,24.436665210723877,26.219337520599364
10600,20.067141914367674,19.00708190917969,21.7530189037323
10700,22.668750705718995,19.4153612613678,25.747258605957033
10800,25.362776470184325,17.219117326736452,24.002478656768798
10900,24.2168518447876,22.947080354690552,24.8320583152771
11000,21.073476009368896,25.05269821166992,20.182269821166994
11100,21.298689661026,23.7453702545166,20.553197116851806
11200,20.88568091392517,21.018242893218993,21.450764198303222
11300,16.924099960327148,18.86057773590088,20.234461135864258
11400,17.52223958969116,19.128391971588133,19.434140548706054
