Idx,p1_loss1,p2_loss1,p1_loss2,p2_loss2,Unnamed: 0,p1_loss0,p2_loss0
1000,3.2397535308290704,2.688014417214501,3.258306107858074,3.2277310100015466,0,3.552475126028651,2.7161659973451777
2000,2.9960155403723503,2.632324170009314,3.034041155015298,2.511291880166667,1,3.5044977215877853,2.6254879163501403
3000,2.2796480720808705,2.3369577740651786,2.8729448868384257,2.412477238484865,2,2.243716850475848,2.190622782573643
4000,3.6015946106989833,2.2237266594356346,2.540535511959384,2.0570864639534006,3,2.6608518445572678,1.6469249200887863
5000,2.2274073175935736,1.6261681295445656,2.8982987233319935,1.7623992774495354,4,2.3001382246368216,1.3703435181768857
6000,2.677532562912167,2.0275759001962808,2.6940142835179963,1.9605005679757528,5,2.4530421179130766,1.9746457353844995
7000,2.3522735623532234,2.458224279453269,2.506466345793757,1.8763086885861728,6,2.2918531359182843,2.048257512084352
8000,2.72477725749901,1.9747258178157134,2.5549484768312603,1.5091201066970825,7,2.141149055653201,1.9447412760133629
9000,2.1351831486794017,2.122191977490495,2.9432667991069006,2.224914360623834,8,2.0553452476227188,1.6598964301435828
10000,2.3977241629866337,2.165429072856319,2.201424427088735,2.418150891644113,9,2.227696495433338,1.8394322880536071
11000,2.2326409100808218,2.088291932246469,2.610531897101988,2.177571012915178,10,2.0765263146720825,2.203207705811396
12000,2.166851938747429,2.218037993499977,3.1518426340365355,2.2505653713787566,11,2.346712906112886,1.8846177067731815
13000,1.8972635911315934,2.195006346512659,2.6893285235664885,2.320341687102812,12,2.220730303769624,2.3003949473417085
14000,2.433615036324584,1.6742073690152577,2.650689172085511,1.7624755929696039,13,2.3400321452267177,1.951354715029562
15000,2.2873595514292018,2.220065580723541,2.7477373672554384,2.3332578421664065,14,2.266733184393416,2.093148834861008
16000,2.6753448202646104,1.8850803973276695,1.993743871215933,1.7062537721647077,15,2.09801553154639,1.520231587299028
17000,1.9170111886451262,1.9303902858610902,2.521346688904803,2.1761292762542497,16,1.8980849440250525,1.944248094847639
18000,3.043894258025941,2.105906583235732,2.4665755193854433,2.1041852693990823,17,2.365255621385186,1.6474279879775
19000,2.1289500536325687,2.1298467439906523,2.408191912514823,1.9696808207889691,18,2.7199927081249697,1.8246072314044304
20000,2.398515045078415,1.598290931111432,2.608453569525468,1.9021002822197401,19,2.013900644639878,1.63034451549009
21000,2.531326467303657,2.011372880321877,2.2414736504258674,1.8216615999787071,20,1.7226293152079304,1.568600076223069
22000,2.0717570546430117,1.9608922879792279,2.4038180596122274,2.0309885722887238,21,1.7514482321891378,1.842282109672115
23000,2.478606009353368,2.1260912775082987,2.135702356567797,2.023675385924303,22,1.8935283709711697,1.834719840175001
24000,2.0204752397103594,2.049763271033764,2.0711934014471867,2.1676039205121813,23,1.9243709095943025,1.5676027868126066
