Idx,p1_loss0,p2_loss0,p1_loss1,p2_loss1,p1_loss2,p2_loss2
1000,6.971881604194641,7.372622229836204,6.892114679018657,6.663219300183383,5.6326185941696165,7.7312312559648
2000,7.126980781555176,7.633584936459859,6.477902626991272,5.447615480422973,5.832064734564887,7.41617739200592
3000,5.106592241923014,7.083691994349162,7.400943902822641,7.615080209878775,5.952435088157654,5.314113306999206
4000,7.693697881698609,9.453516504981302,7.954824500613743,5.802286148071289,6.621681826455252,4.830417258398874
5000,6.1980832576751705,6.5389931418678975,6.387961685657501,7.749237626791,5.401078115810048,5.7903035680452986
6000,5.650731151754206,6.010022358460859,7.384310483932495,7.865774046291005,5.926175932089488,4.707788507143657
7000,5.278239423578436,6.264575389715342,5.282467668706721,6.6276610547846015,5.279288725419478,4.688448472456499
8000,6.110061883926392,6.021788716316223,6.433486962318421,6.297693360935558,5.257050275802612,4.40646904706955
9000,5.885763205014742,5.10488196519705,4.712258855501811,5.065365632375081,6.80974801381429,6.224782393528865
10000,5.554229736328125,6.359523903239857,4.31246433655421,6.264048627444676,5.801353275775909,7.720542345728193
11000,6.744715233643849,6.520884195963542,6.698166543787176,4.8777019739151,6.20381988797869,6.977737829089165
12000,7.743853880808904,4.112563172976176,3.713887721300125,4.815110868877834,6.381542040751531,6.860817381313869
13000,4.780680959874934,5.8723815037654,4.262477212482029,3.6725040276845298,5.529514637860385,5.959381878376007
14000,5.394104957580566,5.136232679540461,6.217648532655504,6.3288802862167355,5.45552431453358,5.732311129570007
15000,7.038122177124023,4.376982484545026,5.346338253754836,4.502931649868305,8.000626908408272,7.8237244432622735
16000,4.891281008720398,5.930660412861751,5.481266888705167,5.081128299236298,5.667643200267445,6.493097305297852
17000,5.4957695484161375,4.294450855255127,4.987840354442596,4.6797430117925005,5.028950196046096,4.864130576451619
18000,7.78491471363948,4.041650717075054,8.091807079315185,4.756404836972554,6.560804526011149,5.55552093187968
19000,5.738183516722459,5.112702199390957,5.2656282945112745,5.206285606731068,4.750093976656596,4.3451792895793915
20000,6.153525193532308,5.398407022158305,4.763317823410034,4.699835697809855,5.153218299150467,5.858315873146057
21000,6.679449047361102,4.105766567316922,5.555312853593093,4.612874627113342,7.06591014067332,4.798511524995168
22000,5.8322685559590655,4.786533784866333,3.7602631829001685,4.309621373812358,4.409108400344849,5.552311182022095
23000,5.15342120329539,3.3747697059924784,5.3262796137068005,3.687592691845364,5.732501888275147,5.733403617685491
24000,6.349044773313734,3.6332608222961427,5.4094414710998535,4.565291771521935,4.304224857917199,3.976596245398888
25000,5.0461684465408325,4.545544279473169,4.980660110712051,3.1294575466050043,6.569282955593533,3.3633904814720155
26000,4.848401818956647,4.064332864114216,6.071967951456705,3.0410126566886904,4.5003254943423805,4.66771551695737
27000,5.338687456571138,3.2162602864778957,4.569852865659273,4.318041054407756,4.016279166395014,3.1859819293022156
28000,4.475352482362227,4.44570272619074,7.185488649777004,4.479983618626227,6.846870942549272,3.2507185101509095
29000,5.461720108985901,3.4367549777030946,4.987573534250259,5.474262502458361,5.9615719593488254,4.917001843452454
30000,3.859039584795634,2.5621121363206343,5.941233184602526,4.153017389774322,4.82563270841326,4.765729554494222
31000,3.514206355268305,3.445505467328158,5.401804089546204,3.8517744711467197,4.263861280221206,2.460073411464691
32000,4.511143684387207,4.098093056678772,4.544215726852417,3.8916001319885254,4.003899042422955,2.95621552834144
33000,4.867504262924195,3.0033499225974083,4.168344875176747,3.6008441769159756,4.757686734199524,2.3328958424654873
34000,2.829244375228882,1.8829190284013748,3.934029452006022,3.8117926120758057,3.309164293607076,4.3594028155008955
35000,3.4093862771987915,3.1250233749548593,4.810235892023359,3.4564858930451527,4.625205874443054,3.3185566902160644
36000,2.8249581456184387,2.348747394301675,2.9644203583399453,2.741045129299164,4.045215262307061,2.630553312599659
37000,6.587235223163258,4.021150545640425,4.700518560409546,3.3865278363227844,2.1167891555362277,2.62794109582901
38000,3.1184395876797764,3.312180650021349,5.039661248524983,6.298281049728393,7.342016356331961,3.43844571378496
39000,6.582091910498483,2.4809195569583347,2.846998756582087,3.548654312888781,4.977487965063616,2.712953065450375
40000,4.14739465713501,2.839544592159135,3.4130393266677856,3.56953763961792,5.76618895928065,4.086748310497829
41000,3.7025285065174103,2.8301554371913276,6.91708732735027,3.4679802705844245,2.6286224921544394,2.550349247455597
42000,2.9342983216047287,2.9072386851677527,2.7367408871650696,1.910521274805069,4.216401636600494,2.821296892382882
43000,3.556331600461687,2.0988702944346835,3.3271467238664627,3.0174805998802183,3.0495045726949517,3.100036371837963
44000,2.3299015522003175,2.610705186923345,2.4784701764583588,2.977214972178141,3.6526609301567077,3.4036623456261377
45000,3.636404183175829,2.010718756251865,3.193247596422831,2.1998542414771185,5.195034008759719,3.2311337888240814
46000,4.3913161321119825,3.191965878009796,4.259615246738706,4.024779066443443,5.190150521018288,2.6599826316038766
47000,3.3458290967074307,5.368483590583007,3.6084616400978784,2.3306106328964233,2.539418413088872,2.0291070892260623
48000,3.202756863832474,3.966076059774919,3.7350625906671797,4.79816136615617,2.607470750808716,3.835754692554474
49000,3.19058321416378,3.8124199708302817,5.480565694662241,2.6025614738464355,2.7892986006206937,3.0530219703912733
50000,3.687166010340055,2.2769275069236756,2.6936973983591255,2.629621555407842,2.565598863821763,3.7429558436075845
51000,4.309716326849801,2.231713382097391,3.093144792776841,2.0823590663763194,3.4860137701034546,2.6652347246805825
52000,3.2710673928260805,2.614864194393158,3.0534978888251563,2.297156078120073,2.624388231171502,2.2528175115585327
53000,2.848284688862887,2.4623719692230224,4.037325629821191,3.44442441208022,4.076772916316986,2.439592785305447
54000,4.704522053400676,6.994524861375491,3.066138371825218,2.327916373809179,2.7362314542134603,3.8324923356374105
55000,3.3276301423708596,2.353016000527602,4.563708701304027,2.524092652967998,3.2691550254821777,2.6228484511375427
56000,2.5533772706985474,3.818165963346308,2.1486747094563077,4.142262584633297,3.0397222963246433,2.7474178160939897
57000,4.439083385467529,2.174226988445629,3.9159754514694214,2.7172153989473977,2.5236963721422048,3.5535816000058102
58000,2.845695633154649,2.9610803723335266,4.146748344103496,2.756172835826874,2.355046500762304,3.5460318556198707
59000,2.5736056024378,3.2191177010536194,3.415517497062683,2.649254571307789,4.292651335398356,2.191335580565713
