Idx,p1_loss0,p2_loss0,p1_loss1,p2_loss1,p1_loss2,p2_loss2
1000,3.4572065430481245,2.687028309268256,4.1645106120231725,3.1772077796672744,3.9726703187881225,3.3140556221438007
2000,3.48872677171055,2.5974578823357017,2.0833757595530877,2.122348965633483,3.001754756526324,1.6504403260262925
3000,2.223065516552405,2.221246458957658,3.0643017017320404,2.0913992541368773,1.8064054254150275,2.1729059441078955
4000,2.642498873671933,1.6665144710369197,2.6493733399760178,2.3622763140693954,2.439927387974894,2.011237491462024
5000,2.302286544485102,1.4022992939427734,2.1903895096456907,1.7792804855913404,2.285354588481974,2.117832200586796
6000,2.4742294292066602,2.014620514476641,2.209549474873041,1.865488717813641,2.4217092202952966,2.2881249353119166
7000,2.315636913836488,2.0982257841442657,2.625165202786867,2.015114625744946,2.6462156137736934,1.8104402081306386
8000,2.1398971461670433,2.0126818762361087,2.192834172653118,1.9328548634424805,2.6723538855303506,1.861523398940039
9000,2.0548236317991386,1.7641062850495741,2.678050202783197,2.1735273847735024,2.2436680566458924,2.03868427840163
10000,2.237515075978202,1.879824766796852,2.2939660172599057,2.104233883005885,2.635559580433788,2.0789620307260663
11000,2.081781161297113,2.2116836481278916,2.2174600975034005,1.9925355371146547,2.482399512266925,1.824801382664221
12000,2.3489741990994277,1.9086893834856649,1.5179020882420933,1.9394577701336397,1.9977068439649528,1.702026065474921
13000,2.2183858724405834,2.3107926996294843,2.5603844034656578,2.1505109971292455,2.3240802852722866,1.3507420929214253
14000,2.3521442758709994,1.9726756573654711,2.209866330230636,1.9501356324721528,2.560909239289585,1.622750642657939
15000,2.2499626048701873,2.098370030866402,2.652752377035082,1.8416424428741596,2.3542234676736076,2.06661957773133
16000,2.0747828446939343,1.4964226616975855,2.295527190630009,1.8224184221238462,2.518537912954654,1.8462829270089667
17000,1.880941626703078,1.9698654729560132,2.010101502054724,1.4744298615458618,2.3414711897622564,1.7435082777758728
18000,2.343189607645611,1.663659531629163,2.0840257602881214,2.00466233624404,2.421229825407829,1.610547511303295
19000,2.7198400180115305,1.846766894339591,2.0760964452439383,1.3430613153959323,1.9947692383841802,2.0532793656597295
20000,1.994305246601377,1.6632828785088911,2.001319975902637,1.9233098844143752,1.8092202155266779,1.9095802507835895
21000,1.7265598166575458,1.5934596230758495,2.7160088556039166,1.9639154341184015,1.9908022684316466,1.8385302382681905
22000,1.7350839354890457,1.8492649351911885,1.8061288167495562,1.631399975063963,2.1612610047839858,1.8599624898546516
23000,1.882632806510956,1.8623675647665747,2.535905850724985,1.8739227240237204,2.641214638231439,1.9152187845800948
24000,1.9102619714974387,1.615707105471385,2.6651236046891125,2.1102276619182962,2.0946147466825735,1.278449540966664
25000,1.9605135540288638,1.7079437796888914,1.7779791313469662,1.8800944254574259,2.1544850001846574,1.874948869174352
26000,2.40651307794961,2.0113376972600574,2.236882322376258,1.8527692459347482,2.0442270935492215,1.751151406442045
27000,1.8983912462945918,1.8967413565949327,1.8675738525027024,1.537050645339851,2.7465132108975934,1.6058919888680987
28000,2.6152245185290606,1.9523479276810025,1.961973389861468,1.8870772760815153,2.3236551050628935,1.7082487647603495
29000,2.897389227675834,1.8535849667497688,2.6522183707062186,1.7080061101990611,2.248757469085242,1.312786848819854
30000,1.9568346493662256,1.5252630754083112,2.070214635995497,1.5573851534030174,2.700145963420086,1.9997036910325006
31000,2.2150548790996694,2.2294705760225724,2.3964185608539754,1.7940373624113795,1.9280527740748912,1.5036388333721429
32000,2.1782876763416796,1.6757929501950068,1.9541720046117754,1.9530468739955167,2.3023863534727496,1.8674892546316253
33000,2.0439752595165723,1.8725300841798527,2.2992056946749466,1.5176665317515532,2.0135206856428964,2.0022476524372332
34000,1.9169329043053758,1.7997906113223683,2.032260078967924,1.9645546547983581,1.9996199059927668,1.6440575092889071
35000,2.249524993343013,2.0537522796250225,2.1744797620559946,1.778148827686285,1.9607739744125865,1.8480379699669804
36000,1.7711594461258577,1.6514728419494404,2.604086035678109,1.6691104998314785,1.6711492990743528,1.6261802609026432
