Idx,loss_guard1,loss_move1,loss_move_progress1,loss_position1,loss1,loss_guard2,loss_move2,loss_move_progress2,loss_position2,loss2,Unnamed: 0,loss_guard0,loss_move0,loss_move_progress0,loss_position0,loss0
1489000,0.001321665996379867,0.051512326997065254,0.0014234833161822567,3.675712038284296e-05,0.054294233430010226,0.0015675999902726439,0.053450334468874504,0.0011501619892683266,2.244061577696854e-05,0.05619053706419244,1488,0.0009991717086353,0.0249033046960218,0.0011446118044736,2.836936368045695e-05,0.0270754575728112
1490000,0.0008924332258946138,0.025412252963793895,0.0009766252387228712,2.3482617522815773e-05,0.027304794045934194,0.0014675112295763383,0.04169146893637069,0.0016871594140029842,2.846119974814787e-05,0.044874600779698154,1489,0.0012043607983429,0.0354188224060072,0.0009596459384984,3.0262719133193006e-05,0.0376130918619819
1491000,0.0012158189773246342,0.04292480432989053,0.001895907596769817,2.5009537285642925e-05,0.04606154044127061,0.0012179205720353893,0.03756332222181348,0.001514321155816937,2.075765008895081e-05,0.04031632159975475,1490,0.0010050632827729,0.0340288244707772,0.0007913090229085,2.938070052950259e-05,0.0358545774769882
1492000,0.0014103625654280335,0.057648218798450654,0.0026642892982447694,3.201774718720965e-05,0.061754888409310635,0.00152468611313952,0.03398967170937321,0.0014721620523464192,2.9733758786107732e-05,0.03701625363364526,1491,0.0009376381808391,0.0432584844897223,0.0009354810599259,2.538952646691905e-05,0.0451569932569543
1493000,0.0012529665980059868,0.02810874472951938,0.0021933471545866664,2.977058851367742e-05,0.031584829070625715,0.0009401772784536831,0.02944486957110619,0.0008685954941752883,1.9220011676036042e-05,0.0312728623554112,1492,0.0009780006854797,0.0341687985869573,0.0007648991421075,2.8667111738411853e-05,0.0359403655262831
1494000,0.001295140325283377,0.025100984443418847,0.001797154777662174,3.395814986628176e-05,0.028227237696230683,0.0021293477823902513,0.048071983717119834,0.0013990793328088511,3.645354686803237e-05,0.05163686437918696,1493,0.0012603360626929,0.0483199684616892,0.0010384845875765,2.5829129680511985e-05,0.0506446182416392
1495000,0.0012108926483137452,0.0209949706540311,0.0015848185291004627,2.6614346126860534e-05,0.023817296177572167,0.0013996813198712803,0.04639788345557546,0.001295320306479168,3.655260278512085e-05,0.049129437684711036,1494,0.0015700553616087,0.0383728249122491,0.0009061907516644,2.9198666918951238e-05,0.0408782696924413
1496000,0.0005784605805867588,0.026934921742296565,0.0010421203291897535,2.4236948466948237e-05,0.028579739600540024,0.0011693662930418079,0.03189055097018052,0.00165798009702228,2.021390620866548e-05,0.034738111266453264,1495,0.0010558107833396,0.0354032878137885,0.0017209075067301,2.7876386898661565e-05,0.0382078824907569
1497000,0.0010731679765654959,0.037792874484032755,0.0011153711746020789,2.4242034768574338e-05,0.040005655669968894,0.001486194171132656,0.04081850409008161,0.001453804068873798,3.2598060926158496e-05,0.04379110039101418,1496,0.0012991819222267,0.0401034523484921,0.0007003894319806,2.585549084512895e-05,0.0421288791935446
1498000,0.0011441904442911763,0.029284280730091945,0.001095571453190864,2.1085880022366887e-05,0.03154512850759636,0.0009879490235079622,0.04508271566988495,0.0011253248279105485,1.7878236916767597e-05,0.04721386775822024,1497,0.0014540810646585,0.0406174715086796,0.0011839212658472,2.5858110142953804e-05,0.0432813319493283
