Idx,loss_guard1,loss_move1,loss_move_progress1,loss_position1,loss1,loss_guard2,loss_move2,loss_move_progress2,loss_position2,loss2,Unnamed: 0,loss_guard0,loss_move0,loss_move_progress0,loss_position0,loss0
1271000,0.007733390916302172,0.040505087764210655,0.0037280616345289294,0.0006077245399522331,0.052574264854993995,0.03422397762842423,0.04935189638594602,0.0032456338232138044,0.0005840112293599851,0.08740551906694403,1270,0.0052520486762091,0.0708427821980917,0.0030718215350044,0.0005679326475991,0.0797345850569045
1272000,0.004090165868525729,0.03003127356267305,0.002266205744663299,0.0004538821613576317,0.0368415273372197,0.01882086908675344,0.05299355111220075,0.0028700331252848417,0.0008228528631041305,0.07550730618734315,1271,0.005086745992777,0.0475964752874078,0.0026278513293649,0.000566642667032,0.0558777152765819
1273000,0.004311671245694172,0.05186162994018969,0.0019743262635580736,0.0010978631742076244,0.059245490623649553,0.004742436264001242,0.03706870524007809,0.0028025508137016356,0.00037654005604460485,0.04499023237382557,1272,0.0047544410388953,0.0513700768009921,0.0027272496034551,0.0004905573047362,0.0593423247480789
1274000,0.00913284829007501,0.04425150384162089,0.002337333521494364,0.0006657588787542513,0.056387444531944525,0.0058660767865011095,0.06753480000431296,0.0026518462634562198,0.0004739217857146323,0.07652664483998492,1273,0.0039147463021908,0.0392138362736816,0.0028433346888339,0.0004835385936051,0.0464554558583116
1275000,0.013357058269283887,0.05920457351462016,0.002085425349609495,0.0005170525250973448,0.07516410965861087,0.003170893776042842,0.02430665628655038,0.001633358447320519,0.0005029627344609353,0.029613871244374677,1274,0.0030703988393085,0.0480681053750295,0.002908586815265,0.0004943462327169,0.05454143726232
1276000,0.003908062235144115,0.03439193680233757,0.0018852418446548712,0.000793217677670615,0.040978458559807175,0.00507402799687273,0.037831987041855426,0.00328949074280043,0.0003807597621511407,0.04657626554367974,1275,0.004054745822429,0.0319612283254473,0.0030483953454545,0.0005162463671824,0.0395806158605133
1277000,0.009575138413434079,0.054721400419528436,0.002833954657619861,0.0009504810699935877,0.06808097456057595,0.00475887929353347,0.038253705205679805,0.0028612184926884547,0.0005026589695202179,0.04637646196142195,1276,0.0045560062670083,0.0453123633737955,0.0026436719515771,0.0004377460294204,0.0529497876218014
1278000,0.006361736201371413,0.04870721675499362,0.002283229545833189,0.0009907379597209707,0.05834292046191921,0.006999475355283321,0.04265859231275317,0.0030168044036363675,0.0006326134200199691,0.05330748549169283,1277,0.0045076307630549,0.0446391178591011,0.003118573621638,0.0004561624615754,0.0527214847053696
1279000,0.005797887462777883,0.05247778948855739,0.00217435463704539,0.0006051172658015336,0.0610551488541822,0.0035630035814492624,0.04736519021487993,0.001852260830320108,0.0003658523965895446,0.05314630702323884,1278,0.0050954708845297,0.0396811896265182,0.0030563056772836,0.0004159800106548,0.0482489461989865
1280000,0.004710903021625889,0.03439925347635733,0.0021188256655784734,0.0008121771310076742,0.04204115929456937,0.0021185812631967344,0.025550414847853063,0.0007481052628547715,0.00048540358919147586,0.028902504963096043,1279,0.0047438446626175,0.039202310277876,0.0020169736673113,0.0004585042804853,0.0464216328882901
1281000,0.005143408033041585,0.05854957557948262,0.0018006859276285664,0.0006055183882754034,0.06609918792842821,0.00818938148356958,0.04571818796091782,0.002438979231642472,0.0006893241106969965,0.05703587278682684,1280,0.0041281012483739,0.0584538876227986,0.0026334249769719,0.0005411997801853,0.0657566136283298
1282000,0.031283637821994684,0.042537608761734194,0.0034791993777874876,0.0006282288169570638,0.07792867477847343,0.010362608624104666,0.04753419371460223,0.0020348590481444944,0.0005283624961845024,0.06046002388303589,1281,0.00430069470729,0.0328126157036867,0.0019911911444366,0.0005172309848217,0.0396217325402353
1283000,0.004723474661992965,0.03682962406589763,0.0023476928800439155,0.0007119682303270004,0.04461275983826152,0.00567116161018942,0.05076030984874342,0.003024512920737522,0.0005884320739933378,0.0600444164536637,1282,0.0047298254426661,0.0421700901722326,0.0031498276636188,0.0005104796119364,0.0505602228904541
1284000,0.0044228389509296155,0.043189088260533484,0.0023128953261442467,0.0005080447000193209,0.050432867237626654,0.00900613977419436,0.05728521897087444,0.0024883430678706154,0.0009016637694728638,0.06968136558241227,1283,0.0050399587105528,0.0577853540675029,0.0028251725335352,0.0005213283825456,0.0661718136941367
1285000,0.0052041775083060465,0.045574300163783846,0.003485292095458136,0.0006598556895332692,0.05492362545708128,0.00848227759661075,0.07037525504093582,0.0023689564465869425,0.0006682047325827543,0.08189469381671625,1284,0.0061812110284749,0.04906223604956,0.0026399947221428,0.0005564094646125,0.0584398512647904
1286000,0.0021291949939538277,0.031108248980941198,0.0015492464388518394,0.00042362116073473574,0.03521031157448161,0.005868971728152516,0.05234654751033122,0.002457158453540037,0.0005200083852276647,0.06119268607725144,1285,0.0086303013564354,0.0689901362999765,0.0038420497315555,0.0005763917270116,0.0820388791149792
1287000,0.003705242267365563,0.05311146737159697,0.002110319064332131,0.0004228215087878495,0.059349850212082514,0.00341611887381338,0.06540180723370849,0.0020246711393314717,0.0009021559701298139,0.07174475321698316,1286,0.0051868579371811,0.0545072006654529,0.002183612695582,0.0005774847910263,0.0624551560892425
1288000,0.004525309340690473,0.03889928971577774,0.0027045760572205163,0.000767464286442867,0.046896639400131605,0.003663184869971815,0.053907780281568195,0.0023116327236929893,0.001024471294358647,0.060907069169591634,1287,0.006644204373968,0.037467907591872,0.002789317991992,0.0005585120457276,0.0474599420035597
1289000,0.002805016067392013,0.0317011379685664,0.0012924988248935528,0.00044611711500112516,0.03624476997585309,0.005071144539968774,0.05229237936968207,0.002956002008074771,0.0008075911768912167,0.06112711709461682,1288,0.006959408671446,0.0555865491635444,0.00239256253018,0.0004944033236472,0.0654329236888178
1290000,0.003612191333003971,0.04038378512863346,0.0015405673628328743,0.0004815231754382745,0.04601806699990859,0.004407039024938716,0.03967163154641457,0.0026293657562502554,0.00045577320417719916,0.04716380953178074,1289,0.0045236205701281,0.044053215772491,0.0023838083992101,0.0005818576474869,0.0515425023893162
1291000,0.009881488548373386,0.04108391635868065,0.0018936937608794403,0.0006036706713727824,0.053462769339306264,0.005930083322318868,0.04443279682873254,0.0036453457155084515,0.00059278719965533,0.05460101306621518,1290,0.0049863204282983,0.0412296422607705,0.0024666932779337,0.0005002856466999,0.0491829416137025
1292000,0.004887476551226655,0.04611723307047396,0.002761582848758309,0.0008056234576874639,0.05457191592814639,0.0046274852623527495,0.046676804760249525,0.0017358089132954717,0.0004496767694431858,0.05348977570534093,1291,0.0070183418660135,0.045822322620509,0.0027363316629722,0.0004566163998517,0.0560336125493464
1293000,0.004120731822954196,0.03601233753085512,0.002579807015345658,0.000685109120659924,0.0433979854898149,0.006019439517494032,0.05843664017039418,0.0027701798166625685,0.0004649843854302826,0.06769124388998109,1292,0.0045296469406517,0.0407480615435155,0.0025874799026959,0.0005700417428608,0.0484352301297241
1294000,0.0029677326071230895,0.052891671276657004,0.001513409051145444,0.00044438162409362827,0.057817194559019174,0.013148523816637357,0.058377961928685974,0.0020354477290298783,0.0009676962250774724,0.07452962969943067,1293,0.0040861507398055,0.0242514847717452,0.0025140936807193,0.0005155089769082,0.0313672381691784
1295000,0.003355039606996293,0.04018935020874233,0.0015836135349099143,0.0005081840780405582,0.0456361874286891,0.004328330129697551,0.04713042006783326,0.0020002748087579363,0.0004897522681235813,0.053948777274412316,1294,0.0058272645301486,0.0447883299880524,0.0028299711135758,0.0005593516552529,0.0540049172870298
1296000,0.005288251780274318,0.043076653682185224,0.002554022215370439,0.00043081375540426724,0.051349741433234244,0.007449346455182534,0.03164650133458167,0.0024863812712935703,0.0004786322843558919,0.04206086134541366,1295,0.0045683418064326,0.048512888683532,0.0023428612195064,0.0004653763599555,0.0558894680694266
