Idx,q_sum0,q_sum1,q_sum2
100,20.19186791419983,21.405382404327394,22.55850704193115
200,23.94765543937683,22.571796665191652,23.184043064117432
300,22.04167508125305,22.127549772262572,20.92409116744995
400,21.663279037475586,21.084193630218508,24.639848318099975
500,18.831628303527832,19.429732360839843,22.98630023956299
600,17.46728289604187,19.57835940361023,23.932331218719483
700,23.74783455848694,19.079646272659303,23.703668775558473
800,20.84386612892151,17.229939880371095,19.76338080406189
900,21.002651901245116,17.94319796562195,20.2600696182251
1000,17.84414927482605,20.21154252052307,24.096125144958496
1100,17.684425897598267,20.664222049713135,24.667747802734375
1200,17.691475200653077,18.149117441177367,23.614069652557372
1300,22.236721506118773,21.347485847473145,20.479973793029785
1400,24.300128269195557,19.889064922332764,21.157626953125
1500,17.37148524284363,23.24757833480835,21.89389946937561
1600,18.616456832885742,24.022032203674318,23.311639289855957
1700,20.611613903045654,17.697656288146973,20.340621299743653
1800,19.066281871795653,22.912070236206056,21.201542339324952
1900,23.56419677734375,20.833370332717895,20.20154281616211
2000,20.501763763427736,22.53927167892456,25.318024501800537
2100,23.97096300125122,22.558018035888672,19.783282861709594
2200,21.707022705078124,22.46654281616211,18.076368274688722
2300,18.15836877822876,21.431074457168577,22.589035625457765
2400,22.558511657714845,23.128401947021484,19.512895040512085
2500,20.241448183059692,20.59147289276123,24.464367542266846
2600,21.16660800933838,18.074965648651123,21.910328102111816
2700,19.525640840530397,17.96701328277588,19.910594415664672
2800,20.1198778629303,20.919311475753783,18.68255395889282
2900,17.482886066436766,19.04181529045105,21.225299673080443
3000,21.131295738220214,23.838208293914796,22.671991262435913
3100,17.853573598861693,17.662882137298585,22.335741500854493
3200,21.481387186050416,19.562712631225587,22.138557815551756
3300,22.056438198089598,25.47402368545532,21.92629783630371
3400,17.577212781906127,21.93954758644104,18.09208882331848
3500,17.548159561157227,19.674842205047607,23.29900712966919
3600,19.02300959587097,23.014236755371094,19.715459156036378
3700,19.093862743377684,23.5423823928833,18.89172119140625
3800,20.837902030944825,22.55678461074829,23.33856695175171
3900,20.403602952957154,22.971330223083495,20.29016061782837
4000,19.22326907157898,18.50858262062073,19.162411184310912
4100,18.950215187072754,24.607772026062012,18.657636060714722
4200,23.023872013092042,24.13362049102783,24.463482322692872
4300,21.616042852401733,21.30019916534424,23.115021686553956
4400,20.645897569656373,20.12459741592407,19.116081886291504
4500,16.810463819503784,20.359008445739747,19.943375282287597
4600,22.256893768310547,25.05894779205322,21.40561580657959
4700,23.81463701248169,22.697241592407227,16.94116892814636
4800,19.189983263015748,20.7514594745636,17.97827331542969
4900,18.124091625213623,18.351562185287477,17.25229736328125
5000,17.92273995399475,18.06872468948364,17.72301540374756
5100,20.05297269821167,19.440856342315673,22.951341171264648
5200,21.253919200897215,21.03303463935852,19.196408643722535
5300,18.00604667663574,21.607111282348633,21.252553186416627
5400,17.92892519950867,18.548250455856323,19.025472288131713
5500,20.648864269256592,18.04203945159912,19.719651679992676
5600,16.985161724090577,19.370324459075928,18.191377229690552
5700,19.860064582824705,23.812497673034667,17.25401330947876
5800,18.814071769714356,19.228416872024535,17.621463890075685
5900,16.645463485717773,19.326790399551392,23.100288734436035
6000,17.513455390930176,23.849852123260497,19.5445276260376
