Idx,loss_guard1,loss_move1,loss_move_progress1,loss_position1,loss1,loss_guard2,loss_move2,loss_move_progress2,loss_position2,loss2,Unnamed: 0,loss_guard0,loss_move0,loss_move_progress0,loss_position0,loss0
1000,0.002569085989269557,2.9660219522714617,0.017601641749393254,0.000724269324547814,2.986916949334673,0.0025970279985642153,3.147445370964706,0.015160457711082358,0.0015265698345431247,3.166729426508896,0,0.0029514078630894,3.905827292770147,0.0133787999573191,0.0014775102888004,3.923635010879356
2000,0.003292435910367908,1.531435266494751,0.016243640639247253,0.0015536671055400297,1.552525010149906,0.002652051156366613,1.582834846660495,0.019202378947578196,0.0007828241995854271,1.605472100964025,1,0.0045685178031023,2.233683052666485,0.0212110037054206,0.000960889217122,2.26042346339213
3000,0.007311646717181376,0.8284444335987792,0.020207736190152634,0.0005480972916817724,0.856511913797795,0.015767096620970145,1.078689499316737,0.022153826023185556,0.000686806098451379,1.117297228059343,2,0.0073530747373149,1.5273833502940837,0.0254916760392825,0.0014270773752581,1.561655178445939
4000,0.02752190410705784,1.035646083638072,0.023649741578128568,0.0008529754231731665,1.0876707047464325,0.013871206843967828,0.6285936511531472,0.018359818290263577,0.0005487534094583347,0.6613734296968371,3,0.0222932317013328,0.9250807692585512,0.0246427874562656,0.0015170889403148,0.9735338773564646
5000,0.020408470707649368,0.5949073446828407,0.01924302414622811,0.0006035204178997332,0.6351623599546181,0.02943933472217691,0.5832222081697546,0.019156965422406438,0.0007439711029741902,0.6325624794173119,4,0.029379024937436,0.7235909087883774,0.0277646456445316,0.0014859192471353,0.7822204986174804
6000,0.023572095711693622,0.5229430892027449,0.019708361235281316,0.0006715448585433905,0.5668950910082633,0.006675067240488866,0.46765874821890613,0.018528017708237123,0.0005865213410889929,0.4934483545087209,5,0.0235375685791232,0.5558376588779501,0.0264813918977947,0.0012126687868983,0.6070692881417665
7000,0.019615319961743913,0.4965907967260573,0.01977109474454374,0.000505293323026733,0.5364825047553713,0.014509498182420314,0.3750104977393057,0.01845502809581445,0.0006927308674978931,0.40866775488503854,6,0.028756117319016,0.4495996932056732,0.0218577840466264,0.0010928636943751,0.501306458265691
8000,0.014086867634730922,0.39295022885687647,0.017641357831389513,0.0005844663201180182,0.42526292064311483,0.01610113382949345,0.24919463594909758,0.01543324831583392,0.0006088621131783129,0.28133788020760325,7,0.0245351371844739,0.4211554800504818,0.0230520696427756,0.0010920591164748,0.4698347459942063
9000,0.01959806976909435,0.29361168799805454,0.016798424095965967,0.0007592084006966726,0.33076739026381147,0.0159347670590877,0.4197497582202777,0.019299724858587608,0.00083481631067795,0.4558190664486309,8,0.0285242862500254,0.3322322798192035,0.0202324487819141,0.0009810706329571,0.3819700854841003
10000,0.01537440688320286,0.3168571671099635,0.017002207891128416,0.0006342427879180672,0.349868024672213,0.014565362848086858,0.435221697102068,0.018075389323828576,0.0006635090310917229,0.46852595830507526,9,0.0226364362532403,0.3112831731442129,0.0178035305676794,0.0008651904051304,0.3525883303702631
11000,0.0082781317689686,0.26372711184318176,0.016262734249998502,0.00048169062653829895,0.2887496684886874,0.020595047990505128,0.3824477277409751,0.02163669227225092,0.0007743360851544683,0.42545380408888583,10,0.0119158583954877,0.3203544590751698,0.0215952664547437,0.0008227556536593,0.3546883395790607
12000,0.02291062340675391,0.29933453714777714,0.012478171884871131,0.0006250898831046126,0.33534842232250683,0.04131586418469597,0.34986645472284,0.02022957145984489,0.0008084611976948146,0.41222035156507564,11,0.0102937827936318,0.2802861979019799,0.0246520847156318,0.0009389431796768,0.3161710085909204
13000,0.00858538805843616,0.3093568408158608,0.01548411849578812,0.0005706815923728423,0.333997028962458,0.01125851001782326,0.26011012160847896,0.01570687359698542,0.0006607910723383526,0.2877362962956258,12,0.017849239804696,0.2350493817278766,0.0196937493331759,0.0009140592782395,0.273506430143988
