Idx,win_rate0,win_rate1,win_rate2
195000,0.74,0.74,0.79
196000,0.75,0.73,0.8
197000,0.75,0.77,0.84
198000,0.75,0.79,0.82
199000,0.73,0.79,0.83
200000,0.76,0.77,0.84
201000,0.75,0.77,0.84
202000,0.73,0.79,0.84
203000,0.73,0.8,0.84
204000,0.74,0.82,0.83
205000,0.74,0.84,0.83
206000,0.75,0.82,0.81
207000,0.74,0.83,0.79
208000,0.73,0.82,0.78
209000,0.74,0.81,0.77
210000,0.72,0.8,0.75
211000,0.71,0.79,0.75
212000,0.68,0.82,0.74
213000,0.68,0.83,0.72
214000,0.66,0.82,0.71
215000,0.65,0.82,0.72
216000,0.69,0.8,0.71
217000,0.69,0.77,0.72
218000,0.69,0.76,0.69
219000,0.66,0.78,0.7
220000,0.64,0.74,0.7
221000,0.63,0.74,0.71
222000,0.59,0.72,0.72
223000,0.6,0.73,0.75
224000,0.63,0.74,0.74
225000,0.65,0.71,0.76
226000,0.7,0.7,0.74
227000,0.69,0.7,0.74
228000,0.71,0.68,0.71
229000,0.7,0.69,0.73
230000,0.69,0.69,0.7
231000,0.71,0.69,0.73
232000,0.71,0.68,0.73
233000,0.7,0.67,0.74
234000,0.74,0.72,0.74
235000,0.72,0.72,0.74
236000,0.68,0.69,0.73
237000,0.65,0.72,0.75
238000,0.65,0.72,0.77
239000,0.64,0.7,0.76
240000,0.64,0.71,0.8
241000,0.62,0.73,0.8
242000,0.64,0.74,0.81
243000,0.64,0.73,0.82
244000,0.68,0.72,0.81
245000,0.68,0.7,0.81
246000,0.67,0.68,0.82
247000,0.68,0.67,0.8
248000,0.68,0.66,0.78
249000,0.7,0.67,0.77
250000,0.7,0.68,0.76
251000,0.7,0.67,0.76
252000,0.7,0.69,0.81
253000,0.7,0.72,0.81
254000,0.72,0.7,0.79
255000,0.73,0.71,0.81
256000,0.72,0.72,0.81
257000,0.73,0.75,0.78
258000,0.73,0.77,0.77
259000,0.72,0.78,0.77
260000,0.71,0.77,0.79
261000,0.71,0.77,0.77
262000,0.73,0.79,0.78
263000,0.72,0.79,0.8
264000,0.72,0.81,0.81
265000,0.72,0.79,0.82
266000,0.73,0.8,0.8
267000,0.72,0.82,0.82
268000,0.7,0.83,0.79
269000,0.71,0.82,0.77
270000,0.69,0.83,0.8
271000,0.71,0.84,0.81
272000,0.7,0.84,0.81
273000,0.72,0.83,0.82
274000,0.69,0.82,0.81
275000,0.69,0.78,0.78
276000,0.69,0.78,0.78
277000,0.69,0.8,0.76
278000,0.71,0.79,0.76
279000,0.71,0.79,0.78
280000,0.69,0.8,0.79
281000,0.71,0.78,0.77
282000,0.71,0.78,0.77
283000,0.69,0.76,0.76
284000,0.7,0.77,0.76
285000,0.69,0.78,0.75
286000,0.67,0.76,0.78
287000,0.65,0.77,0.81
288000,0.69,0.79,0.82
289000,0.72,0.76,0.81
290000,0.73,0.76,0.82
291000,0.72,0.77,0.81
292000,0.75,0.75,0.8
293000,0.76,0.75,0.79
294000,0.76,0.76,0.81
295000,0.76,0.78,0.79
296000,0.76,0.77,0.82
297000,0.77,0.74,0.82
298000,0.79,0.74,0.83
299000,0.8,0.74,0.82
300000,0.82,0.77,0.79
301000,0.82,0.77,0.79
302000,0.81,0.76,0.81
303000,0.79,0.75,0.83
304000,0.8,0.77,0.83
305000,0.77,0.73,0.87
306000,0.77,0.7,0.86
307000,0.77,0.7,0.85
308000,0.78,0.69,0.82
309000,0.77,0.71,0.8
310000,0.78,0.7,0.83
311000,0.77,0.72,0.84
312000,0.76,0.7,0.83
313000,0.73,0.7,0.82
314000,0.74,0.7,0.81
315000,0.74,0.71,0.79
316000,0.76,0.73,0.78
317000,0.74,0.74,0.78
318000,0.75,0.74,0.76
319000,0.75,0.75,0.77
320000,0.74,0.76,0.77
321000,0.75,0.77,0.78
322000,0.74,0.79,0.8
323000,0.77,0.8,0.78
324000,0.76,0.78,0.77
325000,0.79,0.78,0.76
326000,0.8,0.79,0.76
327000,0.8,0.79,0.73
328000,0.8,0.79,0.74
329000,0.81,0.79,0.73
330000,0.78,0.78,0.74
331000,0.81,0.71,0.76
332000,0.81,0.73,0.76
333000,0.78,0.71,0.77
334000,0.77,0.69,0.78
335000,0.76,0.69,0.75
336000,0.73,0.69,0.76
337000,0.74,0.72,0.78
338000,0.71,0.72,0.76
339000,0.74,0.73,0.78
340000,0.72,0.73,0.77
341000,0.71,0.76,0.78
342000,0.73,0.75,0.76
343000,0.72,0.74,0.78
344000,0.72,0.75,0.76
345000,0.72,0.78,0.74
346000,0.73,0.78,0.71
347000,0.75,0.79,0.72
348000,0.77,0.77,0.72
