Idx,q_sum0,q_sum1,q_sum2
100,20.125285120010375,21.390460681915282,22.480226306915284
200,23.81217423439026,22.418601989746094,22.88975704193115
300,21.932043924331666,21.914788284301757,20.592778701782226
400,21.522194623947144,20.59400137901306,24.262773323059083
500,18.69871519088745,18.74444110870361,22.545379600524903
600,17.288789920806884,19.213855199813842,23.45218755722046
700,23.501730251312257,18.535539407730102,23.250110502243043
800,20.638971490859987,17.032035923004152,19.350215873718263
900,20.737239875793456,17.561920366287232,19.79515016555786
1000,17.585600991249084,19.648026132583617,23.449266929626464
1100,17.44437324523926,19.88898808479309,24.037491703033446
1200,17.429477787017824,17.393252868652343,22.900630445480346
1300,21.91252784729004,20.5158811378479,19.83916597366333
1400,23.90004316329956,19.136922597885132,20.435286464691163
1500,17.144813356399535,22.274520740509033,21.143172016143797
1600,18.28127932548523,22.880276947021486,22.519353466033934
1700,20.133964900970458,16.692495889663697,19.572241859436033
1800,18.594918460845946,21.779099807739257,20.48832736968994
1900,22.961843128204347,19.81265567779541,19.45688412666321
2000,19.98563893318176,21.438888969421388,24.45316900253296
2100,23.358474998474122,21.606339073181154,18.885849361419677
2200,21.07375156402588,21.237126445770265,17.324958209991454
2300,17.493242444992067,20.301768140792845,21.817823734283447
2400,21.785752906799317,22.265064640045168,18.757548627853392
2500,19.364141550064087,19.442655448913573,23.45587314605713
2600,20.025929536819458,17.383799695968627,20.882916030883788
2700,18.53722150802612,17.295765190124513,19.021095495224
2800,19.022979230880736,19.73079942703247,17.90507525444031
2900,16.59777871131897,18.180155429840088,20.00929412841797
3000,19.987922744750975,22.964006156921386,21.775445222854614
3100,16.866552848815918,16.66055272102356,21.21189805984497
3200,20.288941669464112,18.706527824401856,21.021648359298705
3300,20.821297855377196,24.29503517150879,20.616844959259033
3400,16.642636985778807,20.453494710922243,17.05594207763672
3500,16.532163982391356,18.105770778656005,21.993309230804442
3600,17.896671886444093,21.27246111869812,18.588428602218627
3700,17.892667083740236,22.121016340255736,17.86549394607544
3800,19.61859952926636,20.815110912322996,22.05967926979065
3900,19.418992252349852,21.4865629196167,19.274453926086426
4000,17.823435382843016,16.986377964019777,18.147463760375977
4100,17.83643955230713,22.951859178543092,17.74253472328186
4200,21.808507795333863,22.405983381271362,23.251976947784424
4300,20.342389669418335,19.85977628707886,21.83019938468933
4400,19.3922659778595,18.51774104118347,18.12223400115967
4500,15.704856491088867,18.965241975784302,18.873421335220335
4600,20.78378888130188,23.532147035598754,20.21783761024475
4700,22.310197095870972,21.400397262573243,16.115800971984864
4800,18.10030267715454,19.357262649536132,17.034996299743653
4900,16.99214099884033,17.14187059402466,16.366874008178712
5000,16.789455156326294,17.115668621063232,16.798516340255738
5100,18.5935160446167,18.128934183120727,21.71053858757019
